,Target,Preds
0,-6.767475,-6.9488764
1,-8.479073,-8.445206
2,-10.54986,-11.471052
3,-6.764754,-6.7397294
4,-7.635519,-7.6170387
5,-5.597385,-5.598759
6,-6.6940045,-6.704807
7,-6.3865156,-6.530171
8,-7.0504737,-7.124051
9,-7.074964,-7.0408645
10,-7.102175,-7.0360584
11,-4.4545064,-4.3033533
12,-7.7579703,-7.756174
13,-6.0572577,-6.1933208
14,-6.876321,-6.853919
15,-6.530736,-6.591402
16,-6.936186,-6.8806405
17,-5.5946636,-5.5025177
18,-7.382453,-7.417097
19,-6.5062456,-6.4340987
20,-7.178367,-7.285843
21,-7.0042143,-7.006285
22,-6.80285,-6.661104
23,-6.8627152,-6.8836913
24,-9.110376,-9.252046
25,-6.979724,-6.9160004
26,-6.8246193,-6.7201114
27,-7.502183,-7.4243674
28,-6.9688396,-6.9508967
29,-6.4082847,-6.299914
30,-6.996051,-6.947548
31,-6.61237,-6.5123706
32,-6.8355036,-6.7806478
33,-6.6586294,-6.499893
34,-6.337535,-6.5190496
35,-6.723937,-6.778942
36,-6.3974,-6.3234963
37,-6.7729173,-6.69442
38,-5.747048,-6.0045366
39,-6.816456,-6.8671474
40,-6.590601,-6.547046
41,-8.653225,-8.608961
42,-7.4151063,-7.349342
43,-5.779701,-6.1015286
44,-8.666831,-8.548733
45,-5.7416053,-5.7655163
46,-6.664072,-6.621131
47,-6.432775,-6.487649
48,-6.7348213,-6.619642
49,-6.7348213,-6.8692336
50,-6.49264,-6.3972096
51,-6.416448,-6.4689674
52,-6.511688,-6.577028
53,-6.449102,-6.458664
54,-6.6395817,-6.5861707
55,-7.913075,-7.661246
56,-7.129387,-7.110891
57,-7.3797317,-7.1212955
58,-6.61237,-6.582935
59,-7.102175,-7.0179734
60,-6.70761,-6.7099853
61,-6.108959,-6.169569
62,-7.8613734,-7.566577
63,-7.1375504,-7.1333747
64,-6.723937,-6.715369
65,-7.3144245,-7.091955
66,-6.89809,-6.7960525
67,-6.5280147,-6.5644197
68,-9.640999,-9.212471
69,-8.040969,-8.129361
70,-7.080406,-7.064185
71,-7.0123777,-6.9157586
72,-5.20282,-5.1353683
73,-7.254559,-7.033677
74,-9.211059,-8.925831
75,-6.549784,-6.5829844
76,-6.6178126,-6.6465526
77,-7.034147,-6.9324718
78,-6.1606607,-6.192501
79,-5.3334346,-5.1657596
80,-6.6178126,-6.5917773
81,-5.5347986,-5.3644567
82,-7.0287046,-6.9227777
83,-6.590601,-6.5840497
84,-6.4899187,-6.558405
85,-5.575616,-5.657601
86,-7.44776,-7.396964
87,-7.6899414,-7.5954604
88,-6.6613507,-6.773441
89,-8.310362,-8.050363
90,-6.272228,-6.3383102
91,-6.0763054,-6.1728683
92,-6.7810807,-6.7307053
93,-6.5552263,-6.5225124
94,-7.9783826,-7.6860266
95,-7.0395894,-6.991838
96,-8.454582,-8.051734
97,-7.371568,-7.2314053
98,-6.239574,-6.2506504
99,-5.6218753,-5.519828
100,-7.0613585,-6.966034
101,-7.0069356,-6.8453765
102,-6.9280224,-6.869597
103,-6.6341395,-6.6115165
104,-6.125286,-6.1058164
105,-4.840908,-4.7724953
106,-7.0994544,-7.1128798
107,-6.963397,-7.000201
108,-5.869499,-5.8772516
109,-6.432775,-6.356516
110,-6.525294,-6.5216227
111,-6.353862,-6.5511694
112,-6.7865233,-6.77089
113,-7.287213,-7.1072245
114,-6.9307437,-6.8988876
115,-6.6586294,-6.8022327
116,-6.163382,-6.2366285
117,-6.7538695,-6.747982
118,-7.3634048,-7.1863527
119,-6.5225725,-6.562496
120,-6.8082924,-6.68462
121,-6.9878874,-6.945107
122,-5.0667624,-4.8856697
123,-6.8708787,-6.8950653
124,-6.3076024,-6.2671824
125,-5.9592967,-6.0090394
126,-6.688562,-6.7582107
127,-6.996051,-7.07312
128,-7.0776854,-7.0184593
129,-7.1321077,-7.176878
130,-6.6042066,-6.6611195
131,-6.9851665,-6.9709196
132,-7.1593194,-7.07816
133,-7.2028575,-7.1442747
134,-6.998772,-6.934298
135,-6.811013,-6.88428
136,-7.5321155,-7.4953384
137,-6.223247,-6.224258
138,-7.0613585,-7.0322595
139,-7.0395894,-7.0638156
140,-6.552505,-6.575284
141,-6.2531796,-6.1276946
142,-4.851793,-4.609491
143,-6.9443493,-7.0968595
144,-6.82734,-6.911711
145,-6.9116955,-6.949248
146,-6.5552263,-6.6132016
147,-6.9851665,-6.945502
148,-6.002835,-5.8852897
149,-6.8463883,-6.876152
150,-7.11306,-7.2695947
151,-6.3076024,-6.2377205
152,-6.800129,-6.727387
153,-6.6042066,-6.7321763
154,-7.3770103,-7.280397
155,-6.7348213,-6.7592664
156,-6.3021603,-6.2726707
157,-6.854552,-6.934918
158,-6.5960436,-6.6272063
159,-7.619192,-7.394621
160,-6.9688396,-6.8875093
161,-6.800129,-6.7056794
162,-6.6776776,-6.8321424
163,-7.4559236,-7.3969045
164,-6.353862,-6.5389585
165,-7.194694,-7.1645217
166,-6.394679,-6.3362274
167,-7.118502,-7.00565
168,-7.3933372,-7.2414336
169,-7.1157813,-7.2616105
170,-6.917138,-6.9071655
171,-6.6368604,-6.649383
172,-7.2409534,-7.129227
173,-6.2885547,-6.340875
174,-6.0735846,-6.0032988
175,-6.61237,-6.6255302
176,-8.601523,-8.392618
177,-6.9661183,-7.03853
178,-6.185151,-6.257951
179,-5.153839,-5.051029
180,-5.9973927,-5.8927383
181,-7.385174,-7.238
182,-7.0858483,-7.0424066
183,-6.740264,-6.718568
184,-6.6150913,-6.599695
185,-6.6749563,-6.699308
186,-8.372948,-8.046509
187,-8.030085,-7.908425
188,-5.477655,-5.350041
189,-7.404222,-7.286562
190,-7.194694,-7.336022
191,-7.292655,-7.2751536
192,-8.440976,-8.083972
193,-7.717153,-7.5496078
194,-7.2436748,-7.121178
195,-6.6341395,-6.6315947
196,-7.3035398,-7.109843
197,-6.234132,-6.1956286
198,-5.41779,-5.604931
199,-6.957955,-6.8654323
200,-6.751148,-6.8092437
201,-6.530736,-6.7421055
202,-6.938907,-6.9643464
203,-7.0613585,-6.959677
204,-5.439559,-5.287264
205,-6.6586294,-6.5595756
206,-4.737505,-4.5358353
207,-6.356583,-6.3333793
208,-7.7688546,-7.7824554
209,-6.8082924,-6.7156863
210,-6.9906087,-7.1466384
211,-7.069522,-7.011036
212,-6.536178,-6.430648
213,-7.270886,-7.130929
214,-6.957955,-6.901216
215,-6.571553,-6.59311
216,-5.948412,-5.8258786
217,-6.9878874,-6.928623
218,-7.8804216,-7.7841244
219,-7.1239443,-7.1915107
220,-6.258622,-6.0563397
221,-6.508967,-6.5212007
222,-7.2953763,-7.116089
223,-7.431433,-7.335924
224,-8.079064,-8.10993
225,-6.800129,-6.763004
226,-6.729379,-6.674933
227,-6.998772,-6.974275
228,-6.7348213,-6.7011924
229,-6.5280147,-6.5450215
230,-5.2000985,-4.9471016
231,-7.562048,-7.4671936
232,-6.2531796,-6.221866
233,-7.031426,-6.995208
234,-5.640923,-5.701861
235,-5.273569,-4.992186
236,-6.77836,-6.6859956
237,-6.454544,-6.420383
238,-7.9838247,-7.6058693
239,-7.118502,-7.0380282
240,-6.9443493,-6.8103333
241,-6.645024,-6.6330037
242,-6.590601,-6.6980643
243,-6.843667,-6.7514625
244,-6.9470706,-6.969014
245,-7.360684,-7.2973757
246,-6.903532,-6.7634854
247,-7.034147,-7.183635
248,-6.503525,-6.6390786
249,-7.094012,-6.9508967
250,-6.8708787,-7.020461
251,-7.322588,-7.104263
252,-7.2382326,-7.0416627
253,-7.2600017,-7.0974603
254,-7.858652,-7.5966053
255,-7.0776854,-7.1078124
256,-6.919859,-6.869599
257,-6.70761,-6.720661
258,-7.6708937,-7.497727
259,-6.5960436,-6.489831
260,-6.2695065,-6.0615106
261,-7.020541,-6.9680386
262,-7.869537,-7.619557
263,-7.268165,-7.1769323
264,-6.6994467,-6.571684
265,-6.9824452,-6.9187074
